LIGNE DE METRO;NOM STATION;PLACE;
M1;LA DEFENSE-GRANDE ARCHE;1;
M1;ESPLANADE DE LA DEFENSE;2;
M1;PONT DE NEUILLY (AVENUE DE MADRID);3;
M1;LES SABLONS (JARDIN D'ACCLIMATATION);4;
M1;PORTE MAILLOT;5;
M1;ARGENTINE;6;
M1;CHARLES DE GAULLE ETOILE;7;
M1;GEORGE V;8;
M1;FRANKLIN-D.ROOSEVELT;9;
M1;CHAMPS-ELYSEES-CLEMENCEAU;10;
M1;CONCORDE;11;
M1;TUILERIES;12;
M1;PALAIS ROYAL-MUSEE DU LOUVRE;13;
M1;LOUVRE-RIVOLI;14;
M1;CHATELET;15;
M1;HOTEL DE VILLE;16;
M1;SAINT-PAUL (LE MARAIS);17;
M1;BASTILLE;18;
M1;GARE DE LYON;19;
M1;REUILLY-DIDEROT;20;
M1;NATION;21;
M1;PORTE DE VINCENNES;22;
M1;SAINT-MANDE;23;
M1;BERAULT;24;
M1;CHATEAU DE VINCENNES;25;
M2;PORTE DAUPHINE;1;
M2;VICTOR HUGO;2;
M2;CHARLES DE GAULLE ETOILE;3;
M2;TERNES;4;
M2;COURCELLES;5;
M2;MONCEAU;6;
M2;VILLIERS;7;
M2;ROME;8;
M2;PLACE DE CLICHY;9;
M2;BLANCHE;10;
M2;PIGALLE;11;
M2;ANVERS;12;
M2;BARBES-ROCHECHOUART;13;
M2;LA CHAPELLE;14;
M2;STALINGRAD;15;
M2;JAURES;16;
M2;COLONEL FABIEN;17;
M2;BELLEVILLE;18;
M2;COURONNES;19;
M2;MENILMONTANT;20;
M2;PERE LACHAISE;21;
M2;PHILIPPE AUGUSTE;22;
M2;ALEXANDRE DUMAS;23;
M2;AVRON;24;
M2;NATION;25;
M3;PONT DE LEVALLOIS-BECON;1;
M3;ANATOLE FRANCE;2;
M3;LOUISE MICHEL;3;
M3;PORTE DE CHAMPERRET;4;
M3;PEREIRE-LEVALLOIS;5;
M3;WAGRAM;6;
M3;MALESHERBES;7;
M3;VILLIERS;8;
M3;EUROPE;9;
M3;SAINT-LAZARE;10;
M3;HAVRE-CAUMARTIN;11;
M3;OPERA;12;
M3;QUATRE SEPTEMBRE;13;
M3;BOURSE;14;
M3;SENTIER;15;
M3;REAUMUR-SEBASTOPOL;16;
M3;ARTS ET METIERS;17;
M3;TEMPLE;18;
M3;REPUBLIQUE;19;
M3;PARMENTIER;20;
M3;SAINT-MAUR;21;
M3;PERE LACHAISE;22;
M3;GAMBETTA;23;
M3;PORTE DE BAGNOLET;24;
M3;GALLIENI (PARC DE BAGNOLET);25;
M3b;PORTE DES LILAS;1;
M3b;SAINT-FARGEAU;2;
M3b;PELLEPORT;3;
M3b;GAMBETTA;4;
M4;PORTE DE CLIGNANCOURT;1;
M4;SIMPLON;2;
M4;MARCADET-POISSONNIERS;3;
M4;CHATEAU ROUGE;4;
M4;BARBES-ROCHECHOUART;5;
M4;GARE DU NORD;6;
M4;GARE DE L'EST;7;
M4;CHATEAU D'EAU;8;
M4;STRASBOURG-SAINT-DENIS;9;
M4;REAUMUR-SEBASTOPOL;10;
M4;ETIENNE-MARCEL;11;
M4;LES HALLES;12;
M4;CHATELET;13;
M4;CITE;14;
M4;SAINT-MICHEL;15;
M4;ODEON;16;
M4;SAINT-GERMAIN-DES-PRES;17;
M4;SAINT-SULPICE;18;
M4;SAINT-PLACIDE;19;
M4;MONTPARNASSE;20;
M4;VAVIN;21;
M4;RASPAIL;22;
M4;DENFERT-ROCHEREAU;23;
M4;MOUTON-DUVERNET;24;
M4;ALESIA;25;
M4;PORTE D'ORLEANS;26;
M4;MAIRIE DE MONTROUGE;27;
M5;BOBIGNY-PABLO PICASSO;1;
M5;BOBIGNY-PANTIN (RAYMOND QUENEAU);2;
M5;EGLISE DE PANTIN;3;
M5;HOCHE;4;
M5;PORTE DE PANTIN;5;
M5;OURCQ;6;
M5;LAUMIERE;7;
M5;JAURES;8;
M5;STALINGRAD;9;
M5;GARE DU NORD;10;
M5;GARE DE L'EST;11;
M5;JACQUES BONSERGENT;12;
M5;REPUBLIQUE;13;
M5;OBERKAMPF;14;
M5;RICHARD LENOIR;15;
M5;BREGUET-SABIN;16;
M5;BASTILLE;17;
M5;QUAI DE LA RAPEE;18;
M5;AUSTERLITZ;19;
M5;SAINT-MARCEL;20;
M5;CAMPO-FORMIO;21;
M5;PLACE D'ITALIE;22;
M6;CHARLES DE GAULLE ETOILE;1;
M6;KLEBER;2;
M6;BOISSIERE;3;
M6;TROCADERO;4;
M6;PASSY;5;
M6;BIR-HAKEIM (GRENELLE);6;
M6;DUPLEIX;7;
M6;LA MOTTE-PICQUET-GRENELLE;8;
M6;CAMBRONNE;9;
M6;SEVRES-LECOURBE;10;
M6;PASTEUR;11;
M6;MONTPARNASSE;12;
M6;EDGAR QUINET;13;
M6;RASPAIL;14;
M6;DENFERT-ROCHEREAU;15;
M6;SAINT-JACQUES;16;
M6;GLACIERE;17;
M6;CORVISART;18;
M6;PLACE D'ITALIE;19;
M6;NATIONALE;20;
M6;CHEVALERET;21;
M6;QUAI DE LA GARE;22;
M6;BERCY;23;
M6;DUGOMMIER;24;
M6;DAUMESNIL;25;
M6;BEL-AIR;26;
M6;PICPUS;27;
M6;NATION;28;
M7;LA COURNEUVE 8 MAI 1945;1;
M7;FORT D'AUBERVILLIERS;2;
M7;AUBERVILLIERS-PANTIN (QUATRE CHEMINS);3;
M7;PORTE DE LA VILLETTE;4;
M7;CORENTIN CARIOU;5;
M7;CRIMEE;6;
M7;RIQUET;7;
M7;STALINGRAD;8;
M7;LOUIS BLANC;9;
M7;CHATEAU-LANDON;10;
M7;GARE DE L'EST;11;
M7;POISSONNIERE;12;
M7;CADET;13;
M7;LE PELETIER;14;
M7;CHAUSSEE D'ANTIN (LA FAYETTE);15;
M7;OPERA;16;
M7;PYRAMIDES;17;
M7;PALAIS ROYAL-MUSEE DU LOUVRE;18;
M7;PONT-NEUF (LA MONNAIE);19;
M7;CHATELET;20;
M7;PONT-MARIE (CITE DES ARTS);21;
M7;SULLY-MORLAND;22;
M7;JUSSIEU;23;
M7;PLACE MONGE (JARDIN DES PLANTES);24;
M7;CENSIER-DAUBENTON;25;
M7;LES GOBELINS;26;
M7;PLACE D'ITALIE;27;
M7;TOLBIAC;28;
M7;MAISON BLANCHE;29;
M7;PORTE D'ITALIE;30;
M7;PORTE DE CHOISY;31;
M7;PORTE D'IVRY;32;
M7;PIERRE CURIE;33;
M7;MAIRIE D'IVRY;34;
M7;LE KREMLIN-BICETRE;35;
M7;VILLEJUIF-LEO LAGRANGE;36;
M7;VILLEJUIF-PAUL VAILLANT-COUTURIER;37;
M7;VILLEJUIF-LOUIS ARAGON;38;
M7b;LOUIS BLANC;1;
M7b;JAURES;2;
M7b;BOLIVAR;3;
M7b;BUTTES-CHAUMONT;4;
M7b;BOTZARIS;5;
M7b;PLACE DES FETES;6;
M7b;DANUBE;7;
M7b;PRE SAINT-GERVAIS;8;
M8;BALARD;1;
M8;LOURMEL;2;
M8;BOUCICAUT;3;
M8;FELIX FAURE;4;
M8;COMMERCE;5;
M8;LA MOTTE-PICQUET-GRENELLE;6;
M8;ECOLE MILITAIRE;7;
M8;LA TOUR MAUBOURG;8;
M8;INVALIDES;9;
M8;CONCORDE;10;
M8;MADELEINE;11;
M8;OPERA;12;
M8;RICHELIEU-DROUOT;13;
M8;GRANDS BOULEVARDS (RUE MONTMARTRE);14;
M8;BONNE NOUVELLE;15;
M8;STRASBOURG-SAINT-DENIS;16;
M8;REPUBLIQUE;17;
M8;FILLES DU CALVAIRE;18;
M8;SAINT-SEBASTIEN FROISSART;19;
M8;CHEMIN VERT;20;
M8;BASTILLE;21;
M8;LEDRU-ROLLIN;22;
M8;FAIDHERBE-CHALIGNY;23;
M8;REUILLY-DIDEROT;24;
M8;MONTGALLET;25;
M8;DAUMESNIL;26;
M8;MICHEL BIZOT;27;
M8;PORTE DOREE;28;
M8;PORTE DE CHARENTON;29;
M8;LIBERTE;30;
M8;CHARENTON-ECOLES;31;
M8;ECOLE VETERINAIRE DE MAISONS-ALFORT;32;
M8;MAISONS-ALFORT-STADE;33;
M8;MAISONS-ALFORT-LES JUILLIOTTES;34;
M8;CRETEIL-L'ECHAT (HOPITAL MONDOR);35;
M8;CRETEIL-UNIVERSITE;36;
M8;CRETEIL-PREFECTURE (HOTEL DE VILLE);37;
M8;CRETEIL-POINTE DU LAC;38:
M9;PONT DE SEVRES;1;
M9;BILLANCOURT;2;
M9;MARCEL SEMBAT;3;
M9;PORTE DE SAINT-CLOUD;4;
M9;EXELMANS;5;
M9;MICHEL-ANGE-MOLITOR;6;
M9;MICHEL-ANGE-AUTEUIL;7;
M9;JASMIN;8;
M9;RANELAGH;9;
M9;LA MUETTE;10;
M9;RUE DE LA POMPE (AVENUE GEORGES MANDEL);11;
M9;TROCADERO;12;
M9;IENA;13;
M9;ALMA-MARCEAU;14;
M9;FRANKLIN-D.ROOSEVELT;15;
M9;SAINT-PHILIPPE-DU-ROULE;16;
M9;MIROMESNIL;17;
M9;SAINT-AUGUSTIN;18;
M9;HAVRE-CAUMARTIN;19;
M9;CHAUSSEE D'ANTIN (LA FAYETTE);20;
M9;RICHELIEU-DROUOT;21;
M9;GRANDS BOULEVARDS (RUE MONTMARTRE);22;
M9;BONNE NOUVELLE;23;
M9;STRASBOURG-SAINT-DENIS;24;
M9;REPUBLIQUE;25;
M9;OBERKAMPF;26;
M9;SAINT-AMBROISE;27;
M9;VOLTAIRE (LEON BLUM);28;
M9;CHARONNE;29;
M9;RUE DES BOULETS;30;
M9;NATION;31;
M9;BUZENVAL;32;
M9;MARAICHERS;33;
M9;PORTE DE MONTREUIL;34;
M9;ROBESPIERRE;35;
M9;CROIX DE CHAVAUX (JACQUES DUCLOS);36;
M9;MAIRIE DE MONTREUIL;37;
M10;BOULOGNE-PONT DE SAINT CLOUD;1;
M10;BOULOGNE-JEAN JAURES;2;
M10;MICHEL-ANGE-MOLITOR;3;
M10;CHARDON-LAGACHE;4;
M10;MIRABEAU;5;
M10;PORTE D'AUTEUIL;6;
M10;MICHEL-ANGE-AUTEUIL;7;
M10;EGLISE D'AUTEUIL;8;
M10;JAVEL;9;
M10;CHARLES MICHELS;10;
M10;AVENUE EMILE ZOLA;11;
M10;LA MOTTE-PICQUET-GRENELLE;12;
M10;SEGUR;13;
M10;DUROC;14;
M10;VANEAU;15;
M10;SEVRES-BABYLONE;16;
M10;MABILLON;17;
M10;ODEON;18;
M10;CLUNY-LA-SORBONNE;19;
M10;MAUBERT-MUTUALITE;20;
M10;CARDINAL-LEMOINE;21;
M10;JUSSIEU;22;
M10;AUSTERLITZ;23;
M11;CHATELET;1;
M11;HOTEL DE VILLE;2;
M11;RAMBUTEAU;3;
M11;ARTS ET METIERS;4;
M11;REPUBLIQUE;5;
M11;GONCOURT (HOPITAL SAINT-LOUIS);6;
M11;BELLEVILLE;7;
M11;PYRENEES;8;
M11;JOURDAIN;9;
M11;PLACE DES FETES;10;
M11;TELEGRAPHE;11;
M11;PORTE DES LILAS;12;
M11;MAIRIE DES LILAS;13;
M12;FRONT POPULAIRE;1;
M12;PORTE DE LA CHAPELLE;2;
M12;MARX DORMOY;3;
M12;MARCADET-POISSONNIERS;4;
M12;JULES JOFFRIN;5;
M12;LAMARCK-CAULAINCOURT;6;
M12;ABBESSES;7;
M12;PIGALLE;8;
M12;SAINT-GEORGES;9;
M12;NOTRE-DAME-DE-LORETTE;10;
M12;TRINITE-D'ESTIENNE D'ORVES;11;
M12;SAINT-LAZARE;12;
M12;MADELEINE;13;
M12;CONCORDE;14;
M12;ASSEMBLEE NATIONALE;13;
M12;SOLFERINO;14;
M12;RUE DU BAC;15;
M12;SEVRES-BABYLONE;16;
M12;RENNES;17;
M12;NOTRE-DAME-DES-CHAMPS;18;
M12;MONTPARNASSE;19;
M12;FALGUIERE;20;
M12;PASTEUR;21;
M12;VOLONTAIRES;22;
M12;VAUGIRARD (ADOLPHE CHERIOU);23;
M12;CONVENTION;24;
M12;PORTE DE VERSAILLES;25;
M12;CORENTIN-CELTON;26;
M12;MAIRIE D'ISSY;27;
M13;SAINT-DENIS-UNIVERSITE;1;
M13;BASILIQUE DE SAINT-DENIS;2;
M13;SAINT-DENIS-PORTE DE PARIS;3;
M13;CARREFOUR PLEYEL;4;
M13;MAIRIE DE SAINT-OUEN;5;
M13;GARIBALDI;6;
M13;PORTE DE SAINT-OUEN;7;
M13;GUY MOQUET;8;
M13;LES COURTILLES-ASNIERES-GENNEVILLIERS;9;
M13;LES AGNETTES-ASNIERES-GENNEVILLIERS;10;
M13;GABRIEL PERI-ASNIERES-GENNEVILLIERS;11;
M13;MAIRIE DE CLICHY;12;
M13;PORTE DE CLICHY;13;
M13;BROCHANT;14;
M13;LA FOURCHE;15;
M13;PLACE DE CLICHY;16;
M13;LIEGE;17;
M13;SAINT-LAZARE;18;
M13;MIROMESNIL;19;
M13;CHAMPS-ELYSEES-CLEMENCEAU;20;
M13;INVALIDES;21;
M13;VARENNE;22;
M13;SAINT-FRANCOIS-XAVIER;23;
M13;DUROC;24;
M13;MONTPARNASSE;25;
M13;GAITE;26;
M13;PERNETY;27;
M13;PLAISANCE;28;
M13;PORTE DE VANVES;29;
M13;MALAKOFF-PLATEAU DE VANVES;30;
M13;MALAKOFF-RUE ETIENNE DOLET;31;
M13;CHATILLON-MONTROUGE;32;
M14;SAINT-LAZARE;1;
M14;MADELEINE;2;
M14;PYRAMIDES;3;
M14;CHATELET;4;
M14;GARE DE LYON;5;
M14;BERCY;6;
M14;COUR SAINT-EMILION;7;
M14;BIBLIOTHEQUE FRANCOIS MITTERRAND;8;
M14;OLYMPIADES;9;
